"sample_id","subclass_label","Kcnc1","Kcnd1","Kcnd2","Kcnd3","Kcnab1","Kcnip1","Kcnip2","Hcn1","Hcn2","Hcn3","Cacna1g","Scn1a","Scn3a","Scn8a"
"LS-15090_S07_E1-50","L2/3 IT",3.85774889501706,0,7.13994317640724,6.74542735307183,0,0,6.98203328220976,0,2.84527544373743,0,5.07122048293517,6.3769642354757,5.2309785238565,8.35151891292566
"LS-15090_S08_E1-50","L4",3.05855941781513,0,4.98452524502671,0,7.81340302002214,0,6.80267832711489,1.58470927204681,0,0,6.91051582362539,6.79403942927447,4.08710532902488,7.15275256837019
"LS-15090_S09_E1-50","L2/3 IT",6.20683695274729,0,6.73643357677468,7.80081493490237,0,0,6.69770541949936,0,2.60494159334615,1.70461009483691,6.0800723101819,1.70461009483691,5.36122435644012,8.50634739457067
"LS-15090_S10_E1-50","L2/3 IT",5.72151021434355,0,0,0,0,0,5.85782730660309,3.81475317042451,3.45084211173151,0,1.36100318765367,0,6.14042938987006,8.03008106073263
"LS-15090_S11_E1-50","L2/3 IT",4.85024474431429,0,5.8084432182107,0,0,0,6.40147215541991,4.25788320262812,0.720327497788121,0,0.720327497788121,0,3.80230902950729,7.5255861603238
"LS-15090_S12_E1-50","L2/3 IT",5.46708526798509,0,6.85442375889405,6.30051328814131,0,0,6.67885914326231,2.48842026326664,2.33204264408424,0,6.21353488556346,6.81803327800173,3.7121040770642,8.26255078689238
"LS-15090_S13_E1-50","L2/3 IT",0,0,7.66748343283104,5.21514467191626,0,0,0,1.96901973879888,4.99544896033738,0,5.53836168315182,5.75631258216031,4.99544896033738,7.78654749058305
"LS-15090_S14_E1-50","L2/3 IT",3.56748937469169,0,6.53971861168531,6.15633623694015,4.41245220866237,0,5.42647332380654,4.53499899812918,0,0,0,0.55775803550987,4.27852146761064,7.364371491432
"LS-15090_S15_E1-50","L2/3 IT",2.10200485892324,0,7.58081166067237,5.19671597569405,0,0,6.25155694689638,0,3.58217685610999,0,5.21814613560211,7.58081166067237,5.91348786173383,8.24252357851029
"LS-15090_S16_E1-50","L2/3 IT",4.9767815476825,0,7.20082673321922,3.99611093101042,0,0,4.71763379221563,2.62699923341812,0,0,0.655595848094597,5.28420257198306,3.99611093101042,7.72875572529762
"LS-15090_S17_E1-50","L6 CT",2.0015248279536,0,4.6166596769388,5.61670113412605,6.43663749004643,0,0.585640401009143,5.74346176341081,0.585640401009143,0,0,4.8093151192897,5.04636530906365,7.6458787791727
"LS-15090_S18_E1-50","L6 CT",0,0,2.23211756077164,4.28474757273537,0,0,3.53186468615103,6.35460655344194,1.86456983489673,0,4.16238710271568,5.39947384076509,6.31686043678601,7.93401461085087
"LS-15090_S19_E1-50","L6 IT",5.42128658080305,0,4.83461673727695,0.632903444282485,7.4738609517593,0,1.07132694829344,4.94189797050056,1.67930240696627,4.26096857093857,4.88925432586568,0,4.17561732433478,7.30327433235383
"LS-15090_S20_E1-50","L6 IT",6.18338402350423,0,5.63387235803712,0,0,6.54037795624444,6.40442357510976,4.70666048398983,4.3474840823461,0.607080750112398,6.18338402350423,6.3124491523574,5.17203370016115,8.00468161715839
"LS-15090_S21_E1-50","L6 CT",5.12405597388975,0,7.07115543368305,3.4739776350315,0,0,0,4.56990449955172,0,0,0,6.8550574636037,6.98164962900662,8.38445092297546
"LS-15090_S22_E1-50","L6 IT",0,0,6.58743424669801,3.60184189122678,0,0,0,1.25861113379875,1.51443567184023,6.80668514975755,5.3383709066781,7.19735765238933,4.25583968612343,7.48216545569817
"LS-15090_S23_E1-50","L2/3 IT",5.09327183160856,0,0,1.94734940050711,0,0,6.81993385312507,0,0,0,3.70021144461214,5.88936947786546,6.66610596453459,7.68725456422599
"LS-15090_S24_E1-50","L2/3 IT",5.63859521217869,0,7.33129781540026,4.29434866165136,0,0,7.00935503590985,3.17830889019861,4.68148521445961,0,2.9150654798422,6.86109613104982,4.62375467031956,7.73048310651408
"LS-15090_S25_E1-50","L6 CT",0.601719979177738,0.601719979177738,5.47482775265906,5.38834281285364,1.02506378662921,0,4.88087441339956,5.17758610172005,4.82928170455128,0.601719979177738,1.02506378662921,5.72116668462948,5.79025312011707,8.8161162947151
